,Event 1,Event 2,Label
0,"['He', 'push', 'her', 'on', 'the', 'ground']","['She', 'try', 'to', 'mess', 'around', 'with', 'her']",2
1,"['He', 'see', 'a', 'squirrel']","['They', 'decide', 'to', 'go', 'for', 'a', 'walk']",2
2,"['I', 'reach', 'the', 'free', 'throw', 'line']","['I', 'steal', 'the', 'ball', 'from', 'my', 'opponent']",2
3,"['They', 'study', 'the', 'recipe', 'diligently']","['A', 'friend', 'recommend', 'she', 'try', 'baking', 'cookies']",2
4,"['My', 'feet', 'end', 'up', 'burning']","['I', 'spill', 'some', 'on', 'the', 'ground']",2
5,"['The', 'computer', 'function', 'properly']","['I', 'purchase', 'a', 'used', 'laptop']",2
6,"['She', 'change', 'into', 'her', 'pajamas']","['They', 'get', 'ready', 'to', 'go', 'to', 'sleep']",2
7,"['They', 'ride', 'the', 'bike', 'all', 'day']","['He', 'let', 'him', 'borrow', 'his', 'new', 'bike']",2
8,"['The', 'couple', 'get', 'along', 'very', 'well']","['They', 'meet', 'a', 'woman', 'in', 'a', 'bar']",2
9,"['She', 'realize', 'that', 'she', 'was', 'lost']","['She', 'glance', 'at', 'her', 'map', 'several', 'times']",2
10,"['She', 'yell', 'at', 'her']","['Snapper', 'jump', 'into', 'a', 'murky', 'lake']",2
11,"['He', 'stop', 'at', 'a', 'coffee', 'shop']","['They', 'take', 'a', 'trip', 'downtown']",2
12,"['They', 'get', 'the', 'highest', 'grade']","['He', 'study', 'hard', 'and', 'often']",2
13,"['I', 'ask', 'my', 'husband', 'to', 'help', 'me']","['I', 'finally', 'admit', 'I', 'needed', 'help']",2
14,"['They', 'end', 'up', 'passing', 'the', 'test']","['This', 'give', 'Sally', 'time', 'to', 'study']",2
15,"['I', 'play', 'the', 'tapes', 'all', 'day', 'long']","['My', 'aunt', 'give', 'me', 'a', 'Teddy', 'Ruxpin']",2
16,"['She', 'get', 'what', 'she', 'wanted']","['Her', 'parents', 'give', 'in']",2
17,"['She', 'make', 'a', 'coffee', 'flavor']","['She', 'get', 'a', 'lot', 'of', 'ingredients']",2
18,"['They', 'confiscate', 'the', 'game', 'indefinitely']","['He', 'parents', 'overhear', 'him', 'yelling', 'and', 'cursing']",2
19,"['He', 'buy', 'some', 'from', 'the', 'store']","['He', 'only', 'find', 'a', 'few', 'clams']",2
20,"['A', 'large', 'fireball', 'erupt', 'from', 'the', 'pit']","['They', 'pour', 'some', 'gasoline', 'on', 'the', 'pit']",2
21,"['They', 'never', 'find', 'their', 'raft']","['The', 'boaters', 'jump', 'out']",2
22,"['His', 'wife', 'take', 'him', 'home']","['He', 'get', 'drunk', 'at', 'his', 'wedding']",2
23,"['His', 'stomach', 'start', 'to', 'feel', 'bad']","['He', 'eat', 'the', 'meat']",2
24,"['I', 'go', 'very', 'slowly', 'up', 'the', 'trail']","['We', 'drive', 'to', 'the', 'hiking', 'trail']",2
25,"['She', 'make', 'them', 'loose']","['The', 'woman', 'braid', 'her', 'hair']",2
26,"['His', 'teammate', 'pass', 'the', 'basketball', 'to', 'John']","['They', 'run', 'down', 'the', 'basketball', 'court']",2
27,"['He', 'spend', 'all', 'of', 'his', 'time', 'online']","['They', 'get', 'a', 'new', 'service', 'provider']",2
28,"['He', 'buy', 'a', 'tank', 'and', 'food']","['They', 'get', 'a', 'goldfish']",2
29,"['He', 'win', 'by', 'a', 'short', 'margin']","['We', 'play', 'a', 'racing', 'game']",2
30,"['He', 'even', 'go', 'back', 'to', 'school']","['He', 'search', 'all', 'day', 'and', 'night']",2
31,"['He', 'shave', 'the', 'dog', 's', 'fur', 'off']","['He', 'brush', 'his', 'dog', 'regularly']",2
32,"['His', 'mom', 'see', 'him', 'sitting', 'there']","['The', 'boy', 'sit', 'at', 'the', 'table']",2
33,"['No', 'one', 'expect', 'much', 'of', 'her', 'though', 'q']","['She', 'always', 'get', 'the', 'lowest', 'grades']",2
34,"['They', 'start', 'dating', 'Sarah']","['They', 'both', 'work', 'in', 'the', 'same', 'office']",2
35,"['They', 'all', 'get', 'to', 'know', 'each', 'other']","['The', 'kids', 'all', 'play', 'together']",2
36,"['I', 'enjoy', 'the', 'food']","['I', 'order', 'Chinese', 'food', 'on', 'campus']",2
37,"['The', 'couple', 'resolve', 'their', 'issues', 'together']","['The', 'couple', 'go', 'to', 'counseling']",2
38,"['He', 'slip', 'on', 'the', 'board']","['He', 'step', 'up', 'to', 'the', 'diving', 'board']",2
39,"['She', 'see', 'more', 'snakes']","['Sue', 'take', 'a', 'shortcut', 'through', 'the', 'field']",2
40,"['They', 'end', 'up', 'being', 'a', 'good', 'grade']","['They', 'ace', 'the', 'test']",2
41,"['They', 'agree', 'to', 'become', 'Mark', 's', 'girlfriend']","['He', 'decide', 'to', 'send', 'her', 'flowers']",2
42,"['Jackson', 'work', 'very', 'hard']","['He', 'decide', 'to', 'start', 'taking', 'Spanish', 'classes']",2
43,"['She', 'take', 'a', 'headache', 'pill']","['They', 'wake', 'up', 'with', 'a', 'bad', 'headache']",2
44,"['They', 'both', 'feel', 'ill', 'from', 'food', 'poisoning']","['They', 'go', 'to', 'the', 'buffet', 'for', 'dinner']",2
45,"['They', 'take', 'the', 'money']","['He', 'see', 'a', 'bag']",2
46,"['He', 'start', 'to', 'feel', 'much', 'better']","['He', 'stop', 'going', 'to', 'burger', 'places']",2
47,"['The', 'cameras', 'catch', 'an', 'employee', 'stealing']","['The', 'store', 'instal', 'new', 'security', 'cameras']",2
48,"['She', 'complain', 'about', 'how', 'tired', 'she', 'was']","['Shannon', 'work', 'eight', 'days', 'in', 'a', 'row']",2
49,"['I', 'look', 'both', 'ways']","['I', 'quickly', 'leave', 'the', 'restaurant']",2
50,"['She', 'order', 'the', 'shrimp']","['They', 'go', 'to', 'a', 'seafood', 'restaurant']",2
51,"['One', 'of', 'the', 'ducks', 'attack', 'Milo']","['He', 'hear', 'a', 'loud', 'honking', 'sound']",2
52,"['They', 'break', 'in', 'two']","['I', 'accidentally', 'sit', 'on', 'my', 'glasses']",2
53,"['He', 'walk', 'around', 'the', 'neighborhood', 'afterwards']","['The', 'winds', 'cause', 'lots', 'of', 'damage']",2
54,"['He', 'quickly', 'assemble', 'a', 'table']","['He', 'impulsively', 'buy', 'plywood', 'and', 'other', 'materials']",2
55,"['She', 'present', 'the', 'chain', 'to', 'her', 'mom']","['She', 'knot', 'them', 'into', 'a', 'chain']",2
56,"['He', 'set', 'up', 'camp']","['He', 'return', 'from', 'the', 'hike']",2
57,"['I', 'see', 'a', 'lot', 'of', 'funny', 'masks']","['I', 'go', 'to', 'the', 'halloween', 'store']",2
58,"['He', 'throw', 'a', 'spitball', 'at', 'the', 'teacher']","['They', 'misbehave', 'a', 'lot', 'in', 'class']",2
59,"['He', 'jump', 'out', 'of', 'bed']","['The', 'cockroach', 'see', 'tyler', 'coming']",2
60,"['Bees', 'keep', 'her', 'yard', 'beautiful']","['They', 'keep', 'the', 'bees', 'happy']",2
61,"['The', 'teacher', 'notice', 'that', 'she', 'was', 'unconscious']","['She', 'slam', 'into', 'a', 'pole']",2
62,"['He', 'pay', 'for', 'the', 'phone']","['He', 'find', 'the', 'phone', 'he', 'wanted']",2
